공원명,위도,경도
죽전제5공원(죽전중앙공원),37.321801,127.121801
공세제3호 어린이공원(버들),37.240301,127.110701
어린이공원,37.301601,127.076201
소공원,37.268301,127.137801
제50호 어린이공원(안마을),37.277701,127.116801
소공원,34.883499,127.694626
역사공원,35.028569,126.726553
완사천공원,35.015395,126.713303
동헌공원,35.032953,126.714912
서성벽공원,35.032974,126.712677
공원,35.019417,126.796973
제102호 어린이공원,37.329901,127.116701
소공원,37.265601,127.075801
소공원,37.301401,127.122601
제103호 어린이공원,37.316001,127.068701
근린공원 76,37.315401,127.070011
삼가지구 어린이공원3,37.241001,127.167101
삼가지구 어린이공원2,37.240601,127.169401
동백제4호 어린이공원(들샘),37.282701,127.156001
건강마당근린공원,37.252201,127.111601
소공원,37.234401,127.190401
제65호 어린이공원(농골),37.261401,127.106901
제25호 근린공원(마북공원),37.298401,127.113901
제20호 근린공원(만현공원),37.310501,127.090401
제19호 근린공원(상현공원),37.312101,127.087101
빛그린역사2,,126.672251
빛고을산단체육,35.166638,126.676281
빛그린1,35.178779,126.677263
두산,35.109786,126.747608
화전,35.113511,126.754886
운남소공원,35.173953,126.824561
선화(송림)공원,36.27472541,126.9005097
3호소공원,36.2843723,126.9162379
4호소공원,36.2846453,126.9160204
도동근린공원,37.48168864,130.8996146
저동근린공원,37.49383028,130.9059546
사동근린공원,37.4639226,130.8757834
남양어린이공원,37.46567982,130.8385457
남서어린이공원,37.46894195,130.8347475
태하어린이공원,37.51311777,130.8015444
현포어린이공원,37.5127167,130.8007384
천부어린이공원,37.53789546,130.8718632
사동소공원,37.47466775,130.8883796
통구미소공원,37.46316915,130.8556166
현포문화공원,37.52471287,130.8267704
통구미수변공원,37.4606003,130.857851
천부체육공원,37.5379673,130.8702573
역삼미소공원,37.50129626,127.0440001
도곡햇살공원,37.49580707,127.0523046
도담공원,37.46716524,127.0986125
행복공원,37.46676405,127.0980565
대치에스케이뷰1 소공원,37.49486214,127.0617781
대치에스케이뷰2 소공원,37.4959785,127.061581
장등1리 소공원,37.0744671,127.0235534
학운4어린이45,37.610718,126.616752
학운4어린이46,37.609897,126.618066
양산체육공원6,37.620886,126.629568
학운3어린이61,37.606618,126.595505
학운(3)산단(50호),37.611763,126.601345
김포소공원31,37.61766905,126.702975
김포어린이45,37.622019,126.701072
고촌문화공원1,37.602789,126.770507
여우별공원,35.172986,
아람울공원,,128.145378
충현공원,37.50467201,127.027767
세곡천공원,37.462426,127.097552
대왕공원,37.474486,127.091064
근린공원1호,37.466445,127.095331
근린공원2호,37.469317,127.0907547
근린공원3호,37.472608,127.093071
근린공원4호,37.474515,127.096381
근린공원5호,37.47330498,127.0997276
근린공원6호,37.472267,127.101805
근린공원7호,37.471058,127.092804
수변공원1호,37.465664,127.097181
수변공원2호,37.465072,127.093755
쉼표소공원,37.467518,127.099851
대치청실아파트 소공원1,37.494298,127.0616031
대치청실아파트 소공원2,37.495443,127.061029
가흥제1소공원,36.820089,128.605875
어린이공원4(안),,
어린이공원6(안),,
근린공원8(안),,
근린공원6(안),,
된밭공원,37.5330385,126.7284864
동양공원,37.56153642,126.7593704
이촌공원,37.53624633,126.7120582
갈개공원,37.53562054,126.7205503
효성공원,37.52673818,126.715671
작전공원,37.5256747,126.7253585
부일공원,37.54479673,126.7232205
안남공원,37.54132601,126.727253
둥지공원,37.436498,126.7889771
복음공원,37.435125,126.790395
복음자리공원,37.43557374,126.7908195
산호공원,37.432542,126.789033
백제공원,37.434045,126.791764
신일공원,37.43102709,126.790866
포도원공원,37.435389,126.7863118
정왕동 체육3공원,37.33875951,126.755514
대야공원,37.446845,126.788558
연합공원,37.444531,126.788904
뱀내공원,37.442359,126.787531
신천공원,37.438037,126.784955
삼미공원,37.440032,126.784084
신라공원,37.440746,126.781698
벌터공원,37.439437,126.779951
소래공원,37.44426059,
현진공원,37.438448,126.7876226
대골공원,37.44854955,126.7906203
안골공원,37.349045,126.7858034
내곡공원,37.348184,126.783237
한우물공원,37.34500351,126.783233
석곡공원,37.343985,126.781132
거모공원,37.343039,126.784341
태봉공원,37.34211063,126.786824
도일공원,37.3401446,126.7858389
옥터공원,37.34644588,126.6896503
오이도공원,37.34186447,126.690127
공원-107,35.28796964,126.9169948
공원-108,35.26666251,126.9025513
공원-109,35.25053837,126.8811847
공원-110,35.26144143,126.8830651
공원-111,35.26019451,126.8976289
공원-112,35.269633,162.920004
공원-112,35.35816633,127.028097
만옥정공원,35.540667,128.502779
문화공원,35.54840401,128.4974034
당산공원,35.540824,128.495085
작약공원(함박산테마공원),35.45553582,128.5358875
남지공원,35.390474,128.475104
대신공원,35.289623,128.470207
동포공원,35.392533,128.478411
서동공원,35.390741,128.478016
홍포공원,35.391633,128.472136
도천공원,35.433583,128.518099
역세권3호 소공원,,126.404894
역세권4호 소공원,36.368068,126.404933
오관공원,36.354901,126.395741
신진공원,36.50578364,126.6231039
27호 소공원,36.57675699,126.652731
두레2소공원(홍성1),36.660257,126.682714
두레4소공원(홍성3),36.657683,126.683178
이룡공원,35.098873,126.697449
대안공원,35.093632,126.705495
평산공원,35.088941,126.700064
월평공원,35.089946,126.715631
엄동공원,35.089946,126.715631
금곡공원,35.078905,126.705541
감정공원,35.100638,126.747676
가곡공원,35.088286,126.734431
유림공원,35.088286,126.741318
현애원공원,35.10291,126.739963
신암공원,35.092812,126.724162
대암공원,35.085941,126.751618
